Action_Name,date,Processed_Features
Cypress Parallel,2022-02-06 20:14:44,"['follow symbolic link', 'component test spec', 'execute unit integration test', 'config file', 'executing cypullrequestess test parallel']"
Cypress Screenshot & Video Upload to WorkChat,2021-09-14 05:43:53,"['pullrequestoject id', 'input data point value']"
Cypress tests Dockerfile generator,2022-10-09 10:50:50,"['send test result cypullrequestess cloud', 'greet']"
cypress-check-run,2021-03-16 18:10:10,"['github access token usually repos secret', 'manage s3 bucket', 'set secret key', 'register junit test result servicenow', 'command execute using codeclimate test reporter', 'pullrequestoject id', 'aws access id']"
Cypress.io,2020-02-19 03:04:50,"['use context expullrequestessions environment variable pullrequestovide information', 'file path generated schema', 'register junit test result servicenow', 'run cypullrequestess test spec platformsh site', 'set status create']"
D Compiler Installation,2019-09-10 16:37:50,"['input data point value', 'get started node action']"
D365 FO update model version,2021-09-24 12:02:59,"['greet someone', 'greet', 'random number']"
DaalmanActionssss,2022-05-24 18:40:42,"['pullrequestovide subfolder path balena cloud application', 'create github action use ably control api', 'trigger terraform cloud terraform enterpullrequestise run', 'installs scalr terraform cli configures scalr use', 'install specific version terraform', 'terraform cli version latest']"
Dagger for GitHub,2022-12-06 19:39:50,"['github action dagger', 'list dagger command', 'working directory relative root directory', 'install dagger', 'argument pas dagger', 'dagger version', 'cleanup dagger home folder end job']"
danger-textlint-actions,2019-10-03 12:44:02,['submit textlint review comment violation']
Dank Memer Pulumi CLI Action,2020-12-04 17:51:25,"['interact pulumi part cicd pipeline', 'run part container']"
Dapr tool installer,2021-06-22 20:32:46,"['acceptable value semantic version string like 120', 'version algolia cli install', 'appullrequestoval message', 'install specific embraceio version']"
Dart and Flutter Package Publisher,2020-01-22 19:42:33,"['continuously test publish dart package pubdev', 'package remote version pubdev', 'skip test mode', 'token pubcachecredentialsjson use secretsoauthrefreshtoken', 'path root git repository compare', 'package local version pubspec', 'perform dry run real publishing', 'package name pubspec']"
Dart Full Coverage,2020-04-12 15:17:17,"['ignore file source upload', 'specify pullrequestoject root directory', 'use package name import', 'allow coverage test tool find dart file', 'run test specific file path defined']"
dart-package,2023-05-13 01:12:10,"['set line length dart format', 'validate publish dartflutter package pubdev', 'upload code coverage report', 'check max granted point threshold']"
DartFlutter Package Analyzer,2019-09-29 00:09:58,"['input data point value', 'get started container action']"
Dastardly Scan Action,2022-10-17 15:13:48,"['filename used scan report', 'full url deployment output', 'run dastardly scan target site']"
Data Theorem Mobile Secure,2021-03-22 16:06:47,"['automated scanning pullrequestepullrequestoduction release security pullrequestivacy issue', 'static analysis io android application', 'reliza hub api key', 'assign uploaded app specific track', 'android api', 'api key', 'behavioral analysis io android application']"
data-factory-deploy-tb,2021-09-20 13:47:51,"['create azure ml workspace', 'arm template bicep file', 'parameter replaced arm template', 'arm template parameter file name', 'data factory resource id']"
data-factory-export,2021-09-17 12:47:02,"['validate azure data factory resource repository', 'directory arm template saved', 'data factory resource id', 'directory contains data factory resource']"
data-factory-validate,2021-09-16 17:56:56,"['data factory resource id', 'validate azure data factory resource repository', 'directory contains data factory resource']"
Database Lab realistic DB testing in CI,2021-04-05 12:28:35,"['report status ci check', 'list command run db migration', 'check owner repository']"
Databrick Notebook Run,2020-06-04 04:04:07,"['view result notebook', 'view apim endpoint url', 'notebook databrick']"
Databricks Deploy,2023-04-15 05:44:16,"['pullrequestoject id', 'input data point value']"
Datadog Downtime Action,2023-04-05 16:00:20,"['pullrequestoject id', 'input data point value']"
DataDog Event Action,2021-10-29 18:06:13,"['github action pullrequestonto', 'text comment act', 'threshold determines alert happen', 'datadog api key', 'evaluate launchdarkly flag github action workflow', 'title event']"
Datadog Github Deployment Metrics Reporter,2023-07-24 01:44:15,"['failure success result status', 'send github deployment metric event datadog']"
DataDog Synthetics Action,2021-10-08 05:11:18,"['job fail there formatting error', 'name datadog custom subdomain', 'run datadog synthetic configuration', 'datadog site region', 'datadog api key', 'public id synthetic test run', 'search message body', 'set run fail timeout', 'datadog synthetic ci config file path', 'synthetic test run config file']"
Datadog Synthetics CI,2021-09-20 14:38:22,"['pullrequestoject id', 'input data point value']"
Datadog Upload dSYMs,2021-11-24 12:54:25,"['pullrequestoject id', 'input data point value']"
datadog-metrics-reporter,2021-02-09 02:24:46,"['pullrequestoject id', 'input data point value']"
Dataflow flex template Builder - GCP,2021-12-21 17:16:58,"['set filepath metadata file', 'fetch access token google api', 'scan image container registry', 'build container image source code', 'manage version', 'create bucket path dataflow template', 'name image', 'override gcp pullrequestoject id']"
datalbryhelm-push,2020-09-04 05:30:05,['push local chart codefresh hosted chart museum repository using token']
datomic-ions-deploy,2020-03-18 15:48:47,"['specify aws region', 'pullrequestovide githubtoken checkallcommitmessages', 'specify directory containing ion code', 'deploy datomic ion datomic cloud', 'run datomic ion', 'pullrequestovide scaleway secret key', 'deploy ion compute group']"
David504CI,2023-05-02 11:35:00,"['greet someone record time', 'greet', 'time greeted']"
DAVISON-PHP-CS-Fixer,2020-02-05 12:44:50,['use phpcsfixer via githubaction']
Days Since Last Commit,2023-04-09 11:53:05,"['determine number day since last commit', 'github context']"
DB Migration Version,2021-09-10 16:35:07,"['determine database version based migration script pullrequestesent', 'viewaccess database migration script']"
DB migration with DLE,2021-04-05 12:28:35,"['report status ci check', 'list command run db migration', 'check owner repository']"
DB Processor,2019-12-05 15:22:19,"['escape value', 'set mysql table', 'set mysql port', 'set character set mysql server', 'set keyvalue map', 'configure sftp password', 'toggle debug output', 'mysql insert statement pullrequestocessing']"
DB Setup,2021-04-05 19:28:24,"['greet someone record time', 'greet', 'time greeted']"
DBCritic,2021-09-08 08:33:41,"['rc command dbcritic turn specific check', 'run dbcritic database']"
DBO Upload,2023-08-20 07:28:13,"['name image', 'changelog markdown format', 'release tag', 'set parent file id', 'file path asset upload', 'game version', 'check upload success', 'dbo api token', 'specify pullrequestevious generation version', 'change directory', 'pullrequestoject id']"
dbt Cloud action,2022-01-11 10:00:40,"['generate cloudflare api token', 'interval poll second', 'cause message use', 'dbt cloud account id', 'run dbt cloud job specified job id']"
dbt Cloud Get Job Run Action,2022-09-22 01:43:53,"['output action', 'run dbt cloud job specified job id', 'pullrequestovides human readable version recent dbt cloud job', 'check dbt cloud job find recent run', 'dbt cloud account id', 'wait run', 'generate cloudflare api token', 'interval poll second']"
dbt coves action,2021-06-30 18:34:54,"['run schedule dbt dbtcoves command directly github repo', 'failure success result status', 'config file use default default config file pullrequestocesscwd', 'assign']"
dco-check,2020-04-27 13:04:17,"['verifies commits pullrequest include developer certificate origin dco information', 'access token scope']"
Dcode - Create Sync PR,2020-05-14 15:56:19,"['sync nonmaster branch master', 'name branch']"
De-register AWS ECS Task Definitions,2021-04-18 18:48:08,"['deregisters task definition aws ec', 'content']"
deadsnakes,2020-05-22 21:40:45,"['install pullrequesterelease python deadsnakes', 'python version use 39']"
Debian LTS versions,2022-09-06 10:52:57,"['lowest layer update', 'maintained lts version', 'highest lts version', 'install dependency debian package']"
debianmasterkubectl,2020-05-12 17:04:18,"['directory pullrequestettier command run', 'github context']"
Debug Action Contexts,2022-04-23 17:47:25,"['dump specific configuration', 'secret storage', 'dump handlebar context', 'json parsed need context']"
Debug and Release APK Publisher with mapping,2019-11-08 04:09:39,"['automated publishing apk release', 'specifies github token via secret', 'build publish debug apk']"
Debug GitHub Action,2023-05-02 08:55:17,"['dump github context runner environment', 'var context', 'json parsed need context', 'secret storage', 'input data point value']"
Debugging with tmate,2019-08-23 12:31:20,"['input data point value', 'get started node action']"
decode-base64-github-action,2023-03-10 01:14:17,"['set base64 string file', 'set decoded string', 'base64 encoded keystore file', 'output decoded string file', 'variable set stringencoded json']"
Decrypt SOPS Secrets,2020-04-19 17:43:37,"['store emerge api token using encrypted secret', 'run sop decrypt secret']"
Deep Security Smart Check,2020-09-16 18:37:09,"['temporary registry password', 'deep security smart check password', 'container registry', 'ignore certificate error connecting deep security smart check', 'temporary registry username', 'pullrequestefixes api route', 'configure nhosts container registry', 'fail step image contains finding exceed threshold', 'scan container image', 'generate sarif file scan result', 'ignore certificate error image registry']"
Deepcrawl Automation Hub,2021-10-27 14:25:34,"['test set name', 'start', 'set secret key', 'key id retrieval', 'run build automation hub']"
Default Environment,2019-12-16 18:43:37,"['used add environment variable', 'populates env context default environment variable']"
DefectDojo Import scan,2021-11-24 12:58:18,"['get jira personal access token', 'set command option', 'set boolean flag', 'specify pullrequestevious generation version', 'set default date format', 'set endpoint registry', 'published event', 'set sonarqube scanner version', 'branch tag', 'import scan result defectdojo', 'build id', 'set cobaltio config id', 'oas file path', 'set defectdojo importscan endpoint', 'set image check', 'defectdojo base url', 'hash base commit', 'set engagement id', 'set suffix docker tag', 'set environment name', 'set lead id', 'set linting rule severity']"
DefectDojo products,2021-11-25 15:34:20,"['lifecycle', 'external audience', 'business criticality', 'defectdojo pullrequestoduct endpoint', 'internet accessible', 'defectdojo base url', 'pullrequesteferred package manager', 'tag', 'install', 'technical contact', 'pullrequestoject id', 'requires api personal access token authorization', 'platform arch', 'list', 'origin branch', 'team manager', 'enable simple risk acceptance', 'pullrequestoduct numeric grade', 'enable full risk acceptance', 'revenue', 'user record']"
Define tag and branch based on ref variable action,2020-05-20 13:05:13,"['tag name', 'branch tag', 'git branch name base', 'pull request branch name', 'name branch', 'return branch name branch return tag name tag']"
Define terraform parameters,2023-05-24 09:07:37,"['pullrequestoject id', 'input data point value']"
Delayed Check,2021-11-22 15:52:57,"['set timeout duration', 'set interval polling', 'wait specific response code', 'return 0 response code received within timeout otherwise return 1', 'wait response code url timeout', 'poll given url']"
Delete a package,2019-11-15 07:14:30,"['whether deletion succeeded failed', 'create delete cluster', 'delete untagged version package github container registry']"
Delete Artifacts,2020-08-29 19:29:44,"['specify github access token', 'artifact platform', 'specify log level', 'artifact deletion', 'action run identifier', 'specify repository', 'dryrun functionality', 'file size filtering', 'artifact cleanup', 'regular expullrequestession filter tag']"
Delete Artifact,2020-04-25 02:20:32,"['artifact deletion', 'description error occurred', 'multiname support']"
Delete AWS ECS Service,2021-04-18 06:29:11,"['specify name distribution delete', 'short name full amazon resource name arn cluster host service delete', 'deletes specified service within cluster', 'fails action rule found using given matcher', 'remove application cluster']"
Delete AWS ELB Target Group,2021-04-18 04:13:03,"['deletes aws elb', 'match rule remove', 'validator fail', 'remove application cluster']"
Delete AWS Route53 Records,2021-04-18 16:39:20,"['delete dns record aws route53 domain', 'retrieve zone id domain', 'count number deleted line', 'add comment change']"
Delete batch GHCR versions,2021-11-15 10:25:55,"['excluder batch delete action', 'specify github access token', 'disable ssl verification', 'view organization owns package', 'delete package version tag dependency tag', 'view name package']"
Delete Build Artifact,2021-04-01 20:32:29,"['delete multiple artifact', 'delete build artifact pullrequesteviously uploaded workflow', 'delete build artifact']"
Delete CodePush,2023-04-27 14:51:22,"['appcenter deployment track', 'app id', 'create delete cluster']"
Delete GAE versions,2020-10-13 18:26:00,"['authorize service account', 'function name', 'keep number latest version deployed', 'delete google app engine version', 'debug mode', 'pullrequestoject id']"
Delete github package versions,2020-11-12 12:21:15,"['number version exclude deletion', 'delete old coverage report comment', 'name image', 'owner repo containing package', 'repo containing package', 'delete package version tag dependency tag', 'regexp pattern']"
Delete GitHub Packages Versions,2020-11-12 12:21:15,"['number version exclude deletion', 'delete old coverage report comment', 'name image', 'owner repo containing package', 'repo containing package', 'delete package version tag dependency tag', 'regexp pattern']"
Delete Namespace,2020-05-27 22:41:55,['delete okteto cloud namespace']
Delete Old Lambda Layers,2022-01-22 23:33:18,"['delete old lambda layer keeping recent version', 'name lambda function', 'specify aws region', 'generate temporary secret access key', 'aws access key id', 'keep number latest version deployed']"
Delete old packages,2020-11-12 12:21:15,"['number version exclude deletion', 'delete old coverage report comment', 'name image', 'owner repo containing package', 'repo containing package', 'delete package version tag dependency tag', 'regexp pattern']"
Delete Old Releases,2022-11-22 19:45:04,"['number version keep', 'number old release one minor version keep', 'github context', 'keep latest release older minor version', 'label used trigger workflow removed documentation generated', 'delete old release automatically', 'always include pullrequesterelease version', 'semver level use keep old release major minor patch', 'interpullrequestet version range loosely']"
Delete old workflow runs,2021-12-08 16:14:30,"['greet someone record time', 'greet', 'time greeted']"
Delete Release Assets,2021-10-09 20:14:13,"['specify github access token', 'release tag', 'delete action repository']"
Delete Repository,2021-05-20 02:51:55,"['number millisecond wait', 'track duration deployment millisecond']"
Delete Spawn Data Container,2021-06-22 07:23:01,['create delete cluster']
Delete Spawn Data Image,2021-06-22 07:24:55,['create delete cluster']
Delete Untagged Containers,2021-03-07 10:56:36,"['organization delete package default current org', 'delete untagged version package github container registry', 'specify name distribution delete']"
Delete untagged ghcr,2022-07-08 13:24:04,"['repository name owner', 'postjob step remove pat', 'displaying repository name', 'configure pat local git config', 'personal access token pat used fetch repository', 'owner type package user org', 'execute command authenticated', 'version without release tag end', 'clean github package', 'excluder batch delete action']"
Delete Untagged Package,2022-02-12 19:29:19,"['pullrequestoject id', 'input data point value']"
Delete Untagged,2022-01-05 02:35:25,"['pullrequestovides ownerorganization name', 'create authenticated client', 'delete untagged version package github container registry']"
Delete workflow artifacts for branch,2022-07-03 21:49:13,"['pullrequestoject id', 'input data point value']"
Delete workflow artifact,2022-01-05 14:45:38,"['description artifact', 'github context', 'delete artifact associated given workflow commit', 'repository name owner', 'workspace name']"
delete-ghcr-untagged,2022-10-10 01:45:51,"['pullrequestoject id', 'input data point value']"
delete-run-artifacts,2020-03-10 10:32:25,"['get id parent github workflow run', 'delete artifact end workflow run', 'specify github access token']"
delete-vercel-preview-urls,2022-12-29 07:19:08,"['delete public vercel pullrequesteview url remote branch deleted', 'vercel token', 'pullrequestoject id']"
Deliverybot Helm Action forked by navi86,2019-08-23 06:52:25,"['chart name', 'helm chart value expected yaml json string', 'helm release name', 'certify helm chart', 'kubernetes namespace resource']"
Deliverybot Helm Action with debug option,2019-08-23 06:52:25,"['chart name', 'helm chart value', 'helm release name', 'certify helm chart', 'kubernetes namespace resource']"
Deliverybot Helm Action,2019-08-23 06:52:25,"['chart name', 'helm chart value expected yaml json string', 'helm release name', 'certify helm chart', 'kubernetes namespace resource']"
DemoPowerShell,2022-12-04 08:28:05,"['pullrequestocess file except named showdemops1', 'commit remaining change commit message', 'make demo powershell pullrequestojects', 'set user data header', 'email used committing repository', 'type data input descriptorset dir', 'commits file message']"
Deny not updated branch,2020-11-06 16:44:48,"['pullrequestoject id', 'input data point value']"
Dep Gradle Monorepo Analysis,2022-01-04 06:44:59,"['pullrequestoject id', 'input data point value']"
Dependabot Auto Merge,2020-08-04 19:16:47,['automatically merge dependabot pullrequests version comparison within range']
Dependabot Helper,2020-10-23 12:33:58,"['greet someone record time', 'greet', 'time greeted']"
Dependabot Private Release Notify,2020-07-08 16:53:05,"['notify dependabot new python package release', 'github context']"
Dependabot Workflow Action,2023-10-16 18:45:45,"['run scanapi using github action', 'auth registry token', 'add string json format', 'use specific registry registry token', 'cite open pullrequestojects', 'open pullrequests specific branch', 'pas check specific directory']"
Dependencies Autoupdate,2021-01-22 08:54:33,"['authentification token use creating pull request', 'update dependency initial check', 'organization owning repo individual username', 'repo name', 'automatic file update', 'username defined default used']"
Dependencies license compliance checker,2021-07-10 16:31:03,"['specify pullrequestevious generation version', 'relative path documentation file', 'return nonzero exit code specified license type found', 'pullrequestint total license type', 'pullrequestint table header', 'pcre exclude matching package', 'license check report', 'publish python sdk pypi']"
Dependency Checker,2020-03-06 11:10:17,"['specify pattern ignore name', 'relative path pullrequestoject analyzed', 'check dependency used found packagejson']"
Dependent PR check,2021-10-13 23:19:59,"['list file added current pullrequest', 'pullrequest pullrequest dependent']"
Deploca Upload,2020-06-27 18:30:44,"['path input directory', 'target service group deploy', 'file path package folder containing spullrequesting cloud app content', 'deploy deployment']"
Deploy (php-actions),2022-11-29 22:12:12,"['specify absolute path remote server transfer', 'remote server port', 'deploy application server container', 'use ssh port value']"
Deploy a Cloudflare Pages Project,2022-02-02 04:36:59,"['pullrequestoject id', 'input data point value']"
Deploy a Portainer stack,2021-04-11 11:26:28,"['pullrequestoject id', 'input data point value']"
Deploy a stack to Portainer,2021-04-11 11:26:28,"['pullrequestoject id', 'input data point value']"
Deploy Action For Netlify,2020-08-19 22:25:52,"['read branch pullrequestotection rule using personal access token', 'set netlify deploy context', 'associate short message deploy', 'comment commit sha context commit true', 'get netlify site api id', 'add comment pullrequest coverage information true', 'deploy draft pullrequests', 'specify input folder', 'deploys build netlify', 'push service without cataloginfoyaml file', 'publishes specified application application repository', 'us github token', 'get url github pull request']"
Deploy Akamai Edge DNS zone,2020-10-02 01:30:00,"['manage dns zone name', 'update akamai edge dns zone via akamai apis']"
Deploy Akamai Edgeworkers,2020-08-29 10:08:26,"['network', 'type purge', 'akamai api', 'reference', 'github context', 'edgerworkers']"
Deploy Application Action,2020-02-13 21:51:59,"['pullrequestoject id', 'input data point value']"
Deploy AWS ECS Service,2021-04-04 17:59:46,"['scan container image', 'service arn', 'name ec service deploy action register task definition service given', 'us specific aws ec service template', 'show environment variable debugging', 'specify number iteration', 'run task aws ec', 'name destination usernameorganization', 'associate target group service', 'creates aws ec cluster', 'arn registered ec task definition', 'force new deployment service']"
Deploy AWS Lambda function,2019-10-18 00:28:38,"['awsn sn region', 'set secret key', 'update specified lambda', 'name lambda function', 'zip package lambda dependency']"
Deploy AWS Lightsail Container,2023-03-23 12:29:22,"['awsn sn region', 'aws lightsail service name', 'short description status', 'deploy container aws lightsail container service', 'aws access key id', 'set access key', 'full qualified tag image registryusernametag']"
Deploy Azure AD B2C TrustFramework KeySet certificate,2020-03-05 02:28:24,"['uploading certificate pfx file', 'authenticate microsoft graph using service pullrequestincipal', 'set client secret service pullrequestincipal', 'pullrequestovides client id', 'get azure ad b2c tenant name', 'deploy trustframework keyset certificate using microsoft graph']"
Deploy Azure AD B2C TrustFramework KeySet secret,2020-03-05 02:01:41,"['authenticate microsoft graph using service pullrequestincipal', 'viewing trustframework keyset container name', 'deploying trustframework keyset secret using microsoft graph', 'viewing full azure ad b2c tenant name guid', 'use secret client key passphrase']"
Deploy Azure Resource Manager (ARM) Template,2020-08-31 13:18:12,"['incremental add resource resource group complete remove extra resource resource group', 'pullrequestovide id subscription used', 'specify list security group id task', 'specify resource group name', 'pullrequestovide scope deployment', 'create azure ml workspace', 'create deployment image', 'specify resource name azure openai', 'pullrequestovide target region required management group subscription deployment', 'supply deployment parameter value', 'pullrequestoject id']"
Deploy B2C Custom Policy,2020-03-04 22:30:13,"['pullrequestoject id', 'input data point value']"
Deploy B4App,2020-12-01 14:53:44,"['deploy b4app', 'accountkey b4app account', 'pullrequestoject name b4app deploy']"
Deploy Build,2020-06-13 17:55:36,"['path deploy rule file', 'ftp username', 'password encrypted password access token username', 'personal access token pat used fetch repository', 'clean destination folder pushing file', 'ftp server hostname', 'generate sarif file server side', 'port connection default 21']"
Deploy CodePush,2023-04-27 14:51:25,"['app id', 'percentage user release', 'automate creation tag new release', 'create release', 'target binary path', 'io build configuration name', 'appcenter deployment track', 'pullrequestovides template file', 'path pullrequestivate key allowing code signing']"
Deploy Core Hours,2020-05-02 15:14:17,"['greet someone', 'timezone notification', 'record time']"
Deploy Deno to Azure App Service,2020-05-28 06:59:17,"['name image', 'publish deno web app azure app service linux', 'name azure web app', 'path zip package deploy']"
Deploy Dispatcher,2023-02-25 09:03:53,"['rsync switch', 'deploy code remote server', 'rsync', 'remote host', 'remote port', 'ssh login passphrasepassword', 'pullrequestivate key generation']"
Deploy Docker Image to Heroku App,2020-05-22 23:47:27,"['view heroku api key', 'link email heroku account', 'build push deploy docker image heroku app', 'validate dockerfile', 'optional build reference path', 'view heroku app name']"
Deploy docker-compose,2020-03-28 18:49:23,"['repo token', 'repo name', 'workdir', 'validate dockerfile', 'github action docker action', 'tag generated snapshotoption pushed', 'repo deploy', 'get image digest', 'use buildargs', 'server deploy', 'tag']"
Deploy Entity Framework Core (EF Core) migrations from a DLL,2020-10-22 16:41:24,"['edit connection string', 'edit connection string net core appsettingsjson', 'renames appsettings file']"
Deploy Environment,2021-01-12 21:15:20,"['pullrequestoject id', 'input data point value']"
Deploy Files And Execute Command For Github Actions,2023-01-03 14:58:47,['dist folder deploy']
Deploy files to repo,2022-07-19 06:43:39,"['manage check run target repository', 'run command target repository copy file', 'store authorizedkeys file github workspace', 'deploy file folder repo', 'pullrequestovide custom run name', 'set custom commit message regex release commits', 'deploy filefolder another github repository']"
Deploy Firebase - Functions + Storage + Firestore,2019-08-13 15:31:07,['deploy firebase hosting']
Deploy Firebase Extensions,2020-02-26 18:02:57,"['pullrequestoject id', 'use webapp suffix instead firebaseappcom', 'manage firebase pullrequestoject']"
Deploy Firebase Functions,2019-08-13 15:31:07,['deploy firebase hosting']
Deploy Firebase Function,2021-04-03 02:31:18,"['deploy firebase hosting', 'manage firebase pullrequestoject', 'generate token authenticate firebase', 'specify input folder']"
Deploy Firebase Site,2021-04-02 20:49:34,"['deploy firebase hosting', 'generate token authenticate firebase']"
Deploy Formspree Forms,2020-12-27 21:31:06,['deploy formspullrequestee form directly github']
Deploy Github Actions,2020-02-11 04:44:30,"['displaying repository name', 'organization name user repository', 'generate new pat', 'customizes commit message generated code', 'deploy common github action repo', 'manage branch', 'publish conda package', 'store authorizedkeys file github workspace']"
Deploy google app engine,2020-10-16 13:28:12,"['authorize service account', 'yaml file name', 'delete action repository', 'deploy application google app engine', 'debug mode', 'delete version receiving traffic', 'create replace app version', 'pullrequestoject id']"
Deploy Helm chart to GKE,2021-06-24 07:44:15,"['docker image name', 'docker image selection', 'get name release branch', 'authenticate gke google kubernetes engine', 'deploy deployment pipeline google cloud platform cloud deploy', 'zone kubernetes cluster', 'run sop decrypt secret', 'helm chart resides', 'load variable env file', 'push google cloud registry']"
Deploy Hugo to Remote,2020-03-05 22:10:21,"['build deploy hugo site remote repository latest extended hugo', 'latest extended hugo']"
Deploy Hugo to S3,2021-07-31 15:22:16,"['choose valid hugo version', 'deploy hugo static website aws s3']"
Deploy Jekyll Site,2020-04-13 22:23:01,"['publish ruby sdk rubygems', 'creates new build viswizio']"
Deploy K8s Application,2022-04-26 07:24:40,['greet someone']
Deploy K8S Tool,2023-06-03 03:56:56,"['support socks5 pullrequestoxy url', 'set status create', 'skip validity check server certificate', 'setup kubectl config', 'pemencoded certificate authority certificate', 'kubernetes namespace resource', 'specify eks cluster name', 'create k8s manifest', 'authinfo name', 'enable request debug', 'specify separator glob input', 'kubernetes service account token']"
Deploy Lambda Python,2020-04-09 09:15:56,"['deploy python code aws lambda dependency separate layer', 'namepath requirementstxt file', 'arn lambda layer dependency pushed without version every push new version', 'name lambda function']"
Deploy Lambda,2020-11-04 09:42:32,"['input data point value', 'get started container action']"
Deploy Multiple Docker Images to Heroku Apps,2020-05-22 14:30:02,"['view heroku api key', 'view heroku app name', 'build multiple docker image using dockercompose', 'link email heroku account', 'file path generated schema', 'build push deploy docker image heroku app']"
Deploy on Deta,2020-12-07 22:22:08,['deploy current repo deta application']
Deploy over RSYNC via SSHPASS,2022-03-05 08:11:50,"['specify local path', 'password', 'github action aws cli', 'ssh port', 'pullrequestoject id', 'username', 'host', 'remote port', 'postpublish command', 'pullrequestivate key generation']"
Deploy package documentation,2019-11-16 20:35:39,"['pullrequestoject id', 'input data point value']"
Deploy Pelican Contents to Github Pages,2021-07-10 14:56:27,"['create github release generation', 'setup theme folder packagejson file', 'override default deployment status url', 'generate pelican output', 'override default name', 'specify custom domain configured output branch']"
Deploy PR with surge.sh,2020-08-17 08:30:32,"['wait interval', 'automated task execution']"
Deploy Preview Environment  test,2021-07-06 10:16:51,"['specify pullrequestevious generation version', 'create okteto cloud pullrequesteview environment']"
Deploy Preview Environment,2021-07-06 10:16:51,"['specify pullrequestevious generation version', 'create okteto cloud pullrequesteview environment']"
Deploy react application to github pages with gh-pages,2020-08-20 04:56:27,"['automate building deploying ghpages branch', 'automate building deploying react app', 'build deploy react app', 'automate building ghpages branch', 'deploy ghpages branch']"
Deploy Rust projects to Cloudflare Workers with Wrangler,2021-05-24 12:56:23,"['generate cloudflare api token', 'environment variable name worker secret', 'publish environment', 'run wrangler command', 'use specific version wrangler', 'execute command publishing', 'deploy cloudflare pullrequestojects github using wrangler', 'publish worker pullrequestoject secret', 'skip publishing worker pullrequestoject secret']"
Deploy Serverless Function to Fleet Function,2020-06-28 18:19:40,"['deploy fleet function apps directly github', 'set relative path fleet cli command', 'set fleet pullrequestoject id', 'use fleet cli', 'set pullrequestoxy host']"
Deploy Stack test,2020-05-27 22:42:01,"['deploys stack okteto cloud', 'build image deploy stack', 'working directory', 'stack name', 'scope nameorganization']"
Deploy Stack,2020-05-27 22:42:01,"['deploys stack okteto cloud', 'build image deploy stack', 'working directory', 'stack name', 'scope nameorganization']"
Deploy static site AWS S3,2020-03-15 19:54:53,"['number millisecond wait', 'track duration deployment millisecond']"
Deploy static site to Netlify or Vercel,2023-07-11 21:56:59,"['netlify deploy hook url used trigger build', 'name file use caching deployed commit id', 'name platform deploy netlify vercel lowercase', 'deploy netlify vercel commit id change', 'set pullrequestimary cache key']"
Deploy Static Webapp to AWS,2020-04-16 10:56:50,"['manage s3 bucket', 'path cloudfront invalidation', 'deploy vuejs application s3', 'path state file inside s3 bucket', 'deploys webapp s3 bucket', 'json output benchmark']"
Deploy Status Action,2021-09-08 09:50:21,['check deployment blocked']
Deploy Status,2020-05-29 20:45:35,"['number millisecond wait', 'track duration deployment millisecond']"
Deploy to a Git Repo,2020-04-21 02:40:24,"['remove ssh key job', 'configures local git config', 'committer name email', 'authenticates ssh key', 'update change request servicenow devops', 'run ssh command known host', 'generate pullrequestetty changelog semantic commits']"
Deploy to Algorithmia,2020-10-09 05:59:39,"['name algorithm algorithmia', 'specify github access token', 'github personal access token', 'algorithmia username', 'algorithmia email', 'relative path documentation file', 'path definition notebook', 'api key', 'git host', 'algorithmia password']"
Deploy to Aptible,2020-05-01 19:42:27,"['aptible environment', 'app id', 'username', 'successfailedcanceled', 'aptible password', 'docker image name', 'get app package name']"
Deploy to Azure Container Instances,2020-01-30 10:32:09,"['network pullrequestotocol use', 'azure file share mounted read', 'url git repository mounted volume', 'set fully qualified name repository', 'location container deployed', 'specify log level', 'o type container', 'number cpu core required', 'commit hash specified revision', 'name azure file share mounted volume', 'number gpu resource needed container', 'configure azure backend url state file storage', 'restart policy container', 'list secure environment variable container', 'set environment variable workspace', 'name container engine', 'relative path directory containing compilation database', 'port open container', 'log analytics workspace name id', 'command line run container started', 'username log container image registry server', 'view apim endpoint url', 'ip address type container group', 'required memory container gb', 'path within container git repo volume mounted', 'dns name label container public ip', 'create azure ml workspace', 'name resource group container instance created', 'container registry password', 'container registry username', 'sku gpus specified', 'path within container azure file volume mounted', 'name storage account contains azure file share']"
Deploy to Azure Web App for Containers,2020-09-01 18:27:45,"['user password pullrequestivate message', 'appstore connect username', 'service pullrequestincipal contributor role web app', 'docker image name', 'deploy application azure spullrequesting cloud manage deployment', 'generate docker tag', 'enter resource group name web app', 'log azure container registry acr pullrequestivate container registry', 'get application id azure ad application connected microsoft dynamic instance app user']"
Deploy to Balena,2024-03-18 02:10:01,"['use cached layer pullrequesteviously built image pullrequestoject', 'image registry credential balena secretsjson', 'name fleet want build release', 'balena cloud api token', 'id release run command', 'tag git commit final balena release version', 'specify custom path dockerfiledockercompose building release image', 'enable adding note release', 'specify github access token', 'api documentation file path depullrequestecated', 'domain backend service build release', 'release matching commit already exists build', 'path dockercompose file', 'version release built', 'enable debug log balena push build', 'branch finalizing release', 'action finalize release building', 'automate release build deployment']"
Deploy to Caprover Using GitHub Actions,2021-04-10 06:35:41,"['github repo branch deploy', 'deploy github action', 'get password used log ctfd', 'name app capullrequestover', 'url capullrequestover eg captainyourdomaincom', 'docker image deployed']"
